"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","CCAA","Província_naixement","Nombre"
2021,9,"Sant Andreu",63,"Navas","Dones","Andalusia","Almeria",49
2021,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Andalusia","Almeria",97
2021,10,"Sant Martí",65,"el Clot","Dones","Andalusia","Almeria",51
2021,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Andalusia","Almeria",36
2021,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Andalusia","Almeria",11
2021,10,"Sant Martí",68,"el Poblenou","Dones","Andalusia","Almeria",55
2021,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Andalusia","Almeria",32
2021,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Andalusia","Almeria",79
2021,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Andalusia","Almeria",66
2021,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Andalusia","Almeria",100
2021,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Andalusia","Almeria",114
2021,1,"Ciutat Vella",1,"el Raval","Dones","Andalusia","Cadis",65
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Andalusia","Cadis",22
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","Andalusia","Cadis",32
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Andalusia","Cadis",32
2021,2,"Eixample",5,"el Fort Pienc","Dones","Andalusia","Cadis",34
2021,2,"Eixample",6,"la Sagrada Família","Dones","Andalusia","Cadis",79
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Andalusia","Cadis",42
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Andalusia","Cadis",57
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Andalusia","Cadis",83
2021,2,"Eixample",10,"Sant Antoni","Dones","Andalusia","Cadis",49
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Andalusia","Cadis",69
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Andalusia","Cadis",1
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Andalusia","Cadis",72
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Andalusia","Cadis",14
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Andalusia","Cadis",25
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Andalusia","Cadis",41
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Andalusia","Cadis",39
2021,3,"Sants-Montjuïc",18,"Sants","Dones","Andalusia","Cadis",73
2021,4,"Les Corts",19,"les Corts","Dones","Andalusia","Cadis",60
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Andalusia","Cadis",38
2021,4,"Les Corts",21,"Pedralbes","Dones","Andalusia","Cadis",11
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Andalusia","Cadis",15
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Andalusia","Cadis",21
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Andalusia","Cadis",18
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Andalusia","Cadis",32
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Andalusia","Cadis",54
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Andalusia","Cadis",22
2021,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Andalusia","Cadis",25
2021,6,"Gràcia",29,"el Coll","Dones","Andalusia","Cadis",18
2021,6,"Gràcia",30,"la Salut","Dones","Andalusia","Cadis",17
2021,6,"Gràcia",31,"la Vila de Gràcia","Dones","Andalusia","Cadis",71
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Andalusia","Cadis",52
2021,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Andalusia","Cadis",41
2021,7,"Horta-Guinardó",34,"Can Baró","Dones","Andalusia","Cadis",11
2021,7,"Horta-Guinardó",35,"el Guinardó","Dones","Andalusia","Cadis",54
2021,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","Andalusia","Cadis",21
2021,7,"Horta-Guinardó",37,"el Carmel","Dones","Andalusia","Cadis",108
2021,7,"Horta-Guinardó",38,"la Teixonera","Dones","Andalusia","Cadis",52
2021,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","Andalusia","Cadis",13
2021,7,"Horta-Guinardó",40,"Montbau","Dones","Andalusia","Cadis",9
2021,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","Andalusia","Cadis",8
2021,7,"Horta-Guinardó",42,"la Clota","Dones","Andalusia","Cadis",2
2021,7,"Horta-Guinardó",43,"Horta","Dones","Andalusia","Cadis",54
2021,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","Andalusia","Cadis",58
2021,8,"Nou Barris",45,"Porta","Dones","Andalusia","Cadis",48
2021,8,"Nou Barris",46,"el Turó de la Peira","Dones","Andalusia","Cadis",35
2021,8,"Nou Barris",47,"Can Peguera","Dones","Andalusia","Cadis",8
2021,8,"Nou Barris",48,"la Guineueta","Dones","Andalusia","Cadis",41
2021,8,"Nou Barris",49,"Canyelles","Dones","Andalusia","Cadis",31
2021,8,"Nou Barris",50,"les Roquetes","Dones","Andalusia","Cadis",48
2021,8,"Nou Barris",51,"Verdun","Dones","Andalusia","Cadis",21
2021,8,"Nou Barris",52,"la Prosperitat","Dones","Andalusia","Cadis",74
2021,8,"Nou Barris",53,"la Trinitat Nova","Dones","Andalusia","Cadis",26
2021,8,"Nou Barris",54,"Torre Baró","Dones","Andalusia","Cadis",3
2021,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Andalusia","Cadis",32
2021,8,"Nou Barris",56,"Vallbona","Dones","Andalusia","Cadis",5
2021,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Andalusia","Cadis",37
2021,9,"Sant Andreu",58,"Baró de Viver","Dones","Andalusia","Cadis",13
2021,9,"Sant Andreu",59,"el Bon Pastor","Dones","Andalusia","Cadis",26
2021,9,"Sant Andreu",60,"Sant Andreu","Dones","Andalusia","Cadis",130
2021,9,"Sant Andreu",61,"la Sagrera","Dones","Andalusia","Cadis",63
2021,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","Andalusia","Cadis",21
2021,9,"Sant Andreu",63,"Navas","Dones","Andalusia","Cadis",52
2021,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Andalusia","Cadis",53
2021,10,"Sant Martí",65,"el Clot","Dones","Andalusia","Cadis",51
2021,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Andalusia","Cadis",35
2021,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Andalusia","Cadis",8
2021,10,"Sant Martí",68,"el Poblenou","Dones","Andalusia","Cadis",42
2021,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Andalusia","Cadis",21
2021,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Andalusia","Cadis",59
2021,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Andalusia","Cadis",34
2021,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Andalusia","Cadis",77
2021,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Andalusia","Cadis",92
2021,1,"Ciutat Vella",1,"el Raval","Dones","Andalusia","Còrdova",62
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Andalusia","Còrdova",23
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","Andalusia","Còrdova",29
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Andalusia","Còrdova",45
2021,2,"Eixample",5,"el Fort Pienc","Dones","Andalusia","Còrdova",64
2021,2,"Eixample",6,"la Sagrada Família","Dones","Andalusia","Còrdova",161
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Andalusia","Còrdova",80
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Andalusia","Còrdova",89
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Andalusia","Còrdova",105
2021,2,"Eixample",10,"Sant Antoni","Dones","Andalusia","Còrdova",86
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Andalusia","Còrdova",82
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Andalusia","Còrdova",4
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Andalusia","Còrdova",219
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Andalusia","Còrdova",43
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Andalusia","Còrdova",41
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Andalusia","Còrdova",97
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Andalusia","Còrdova",130
2021,3,"Sants-Montjuïc",18,"Sants","Dones","Andalusia","Còrdova",126
2021,4,"Les Corts",19,"les Corts","Dones","Andalusia","Còrdova",96
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Andalusia","Còrdova",92
2021,4,"Les Corts",21,"Pedralbes","Dones","Andalusia","Còrdova",23
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Andalusia","Còrdova",10
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Andalusia","Còrdova",30
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Andalusia","Còrdova",15
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Andalusia","Còrdova",37
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Andalusia","Còrdova",53
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Andalusia","Còrdova",36
2021,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Andalusia","Còrdova",39
2021,6,"Gràcia",29,"el Coll","Dones","Andalusia","Còrdova",30
2021,6,"Gràcia",30,"la Salut","Dones","Andalusia","Còrdova",38
2021,6,"Gràcia",31,"la Vila de Gràcia","Dones","Andalusia","Còrdova",105
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Andalusia","Còrdova",82
2021,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Andalusia","Còrdova",78
2021,7,"Horta-Guinardó",34,"Can Baró","Dones","Andalusia","Còrdova",45
2021,7,"Horta-Guinardó",35,"el Guinardó","Dones","Andalusia","Còrdova",115
2021,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","Andalusia","Còrdova",42
2021,7,"Horta-Guinardó",37,"el Carmel","Dones","Andalusia","Còrdova",289
2021,7,"Horta-Guinardó",38,"la Teixonera","Dones","Andalusia","Còrdova",90
2021,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","Andalusia","Còrdova",50
2021,7,"Horta-Guinardó",40,"Montbau","Dones","Andalusia","Còrdova",23
2021,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","Andalusia","Còrdova",23
2021,7,"Horta-Guinardó",42,"la Clota","Dones","Andalusia","Còrdova",2
2021,7,"Horta-Guinardó",43,"Horta","Dones","Andalusia","Còrdova",148
2021,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","Andalusia","Còrdova",129
2021,8,"Nou Barris",45,"Porta","Dones","Andalusia","Còrdova",172
2021,8,"Nou Barris",46,"el Turó de la Peira","Dones","Andalusia","Còrdova",71
2021,8,"Nou Barris",47,"Can Peguera","Dones","Andalusia","Còrdova",12
2021,8,"Nou Barris",48,"la Guineueta","Dones","Andalusia","Còrdova",142
2021,8,"Nou Barris",49,"Canyelles","Dones","Andalusia","Còrdova",81
2021,8,"Nou Barris",50,"les Roquetes","Dones","Andalusia","Còrdova",162
2021,8,"Nou Barris",51,"Verdun","Dones","Andalusia","Còrdova",116
2021,8,"Nou Barris",52,"la Prosperitat","Dones","Andalusia","Còrdova",282
2021,8,"Nou Barris",53,"la Trinitat Nova","Dones","Andalusia","Còrdova",45
2021,8,"Nou Barris",54,"Torre Baró","Dones","Andalusia","Còrdova",24
2021,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Andalusia","Còrdova",99
2021,8,"Nou Barris",56,"Vallbona","Dones","Andalusia","Còrdova",20
2021,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Andalusia","Còrdova",85
2021,9,"Sant Andreu",58,"Baró de Viver","Dones","Andalusia","Còrdova",15
2021,9,"Sant Andreu",59,"el Bon Pastor","Dones","Andalusia","Còrdova",79
2021,9,"Sant Andreu",60,"Sant Andreu","Dones","Andalusia","Còrdova",346
2021,9,"Sant Andreu",61,"la Sagrera","Dones","Andalusia","Còrdova",130
2021,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","Andalusia","Còrdova",48
2021,9,"Sant Andreu",63,"Navas","Dones","Andalusia","Còrdova",89
2021,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Andalusia","Còrdova",99
2021,10,"Sant Martí",65,"el Clot","Dones","Andalusia","Còrdova",99
